# term,courseCode,courseName,questionId,question,optionA,optionB,optionC,optionD,correctIndex(1-4)
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q48,Which design principle keeps slides simple,Minimalism,Complexity,Decoration,Overcrowding,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q49,Which document records research progress,Technical report,Novel,Advertisement,Story,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q50,Which goal ensures audience understanding,Clear communication,Long explanation,Complex language,Hidden meaning,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q1,What is the basic unit of information in computers,Bit,Byte,Word,Register,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q2,How many bits are in one byte,8,4,16,32,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q3,Which system represents numbers using 0 and 1,Binary system,Decimal system,Octal system,Hexadecimal system,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q4,Which metric measures program execution speed,Execution time,File size,Memory size,Program length,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q5,Which architecture is widely used in modern processors,ARM architecture,MIPS architecture,SPARC architecture,VLIW architecture,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q6,Which architecture is commonly used for teaching computer architecture,MIPS architecture,ARM architecture,Intel architecture,Power architecture,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q7,Which component performs arithmetic operations,ALU,Control unit,Cache,Register file,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q8,Which component stores temporary data inside CPU,Register,Cache,Main memory,Hard disk,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q9,Which instruction format includes opcode and operands,Machine instruction,Source code,Object code,Assembly code,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q10,Which representation encodes instructions in binary form,Machine code,Assembly language,High level language,Scripting language,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q11,Which arithmetic operation handles signed integers,Integer arithmetic,Floating arithmetic,Vector arithmetic,Matrix arithmetic,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q12,Which arithmetic format represents real numbers,Floating point,Integer format,Binary format,Decimal format,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q13,Which processor design executes instruction in one clock cycle,Single cycle datapath,Pipeline datapath,Multicycle datapath,Parallel datapath,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q14,Which processor design overlaps instruction execution,Pipelined datapath,Single cycle datapath,Sequential datapath,Serial datapath,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q15,Which issue occurs when pipeline stages conflict,Pipeline hazard,Cache miss,Branch miss,Register miss,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q16,Which hazard occurs due to data dependency,Data hazard,Control hazard,Structural hazard,Memory hazard,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q17,Which hazard occurs due to branch instructions,Control hazard,Data hazard,Structural hazard,Cache hazard,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q18,Which hazard occurs when hardware resources conflict,Structural hazard,Control hazard,Data hazard,Branch hazard,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q19,Which mechanism handles abnormal conditions during execution,Exception handling,Interrupt disabling,Instruction skipping,Memory reset,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q20,Which technique executes multiple instructions simultaneously,Instruction level parallelism,Process scheduling,Thread management,Memory allocation,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q21,Which technique issues multiple instructions per cycle,Multiple issue,Single issue,Sequential issue,Pipeline issue,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q22,Which technique predicts branch outcomes,Speculation,Segmentation,Virtualization,Compilation,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q23,Which processor type issues multiple instructions dynamically,Superscalar processor,Scalar processor,Vector processor,Serial processor,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q24,Which technique allows instructions to execute in different order,Out of order execution,Sequential execution,Static execution,Linear execution,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q25,Which method removes false dependencies,Register renaming,Register deletion,Register copying,Register swapping,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q26,Which memory is fastest in hierarchy,Register memory,Cache memory,Main memory,Disk storage,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q27,Which memory stores frequently accessed data,Cache memory,Hard disk,Optical disk,Flash drive,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q28,Which metric measures cache effectiveness,Cache hit rate,Cache size,Cache color,Cache voltage,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q29,Which memory technique uses disk as extension of RAM,Virtual memory,Cache memory,Register memory,Static memory,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q30,Which structure maps virtual addresses to physical addresses,Page table,Cache table,Index table,Pointer table,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q31,Which architecture uses single instruction single data,SISD architecture,MIMD architecture,SIMD architecture,SPMD architecture,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q32,Which architecture uses multiple instruction multiple data,MIMD architecture,SISD architecture,SIMD architecture,SPMD architecture,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q33,Which architecture performs same instruction on multiple data,SIMD architecture,SISD architecture,MIMD architecture,SPMD architecture,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q34,Which programming model runs same program on different processors,SPMD model,SIMD model,SISD model,MIMD model,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q35,Which processor design uses multiple cores,Multiprocessor system,Single processor system,Serial processor system,Scalar processor system,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q36,Which technique processes multiple data elements simultaneously,Data level parallelism,Instruction level parallelism,Thread level parallelism,Process level parallelism,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q37,Which architecture uses vector operations,Vector architecture,Scalar architecture,Serial architecture,Single architecture,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q38,Which processor type accelerates graphics computation,GPU,CPU,DSP,ALU,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q39,Which architecture is optimized for parallel graphics processing,GPU architecture,CPU architecture,ARM architecture,MIPS architecture,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q40,Which unit controls execution of instructions,Control unit,ALU,Register file,Cache unit,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q41,Which unit stores frequently used instructions,Instruction cache,Data cache,Register file,Main memory,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q42,Which technique improves pipeline efficiency,Forwarding,Blocking,Stalling,Halting,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q43,Which instruction transfers control to another location,Branch instruction,Arithmetic instruction,Logical instruction,Load instruction,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q44,Which instruction loads data from memory,Load instruction,Store instruction,Jump instruction,Branch instruction,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q45,Which instruction writes data to memory,Store instruction,Load instruction,Jump instruction,Branch instruction,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q46,Which instruction changes program execution flow,Jump instruction,Load instruction,Store instruction,Add instruction,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q47,Which factor affects CPU performance,Clock rate,Screen size,Keyboard layout,Color depth,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q48,Which component stores program instructions,Main memory,ALU,Cache controller,Register file,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q49,Which hardware element coordinates processor operations,Control unit,ALU,Cache memory,Register file,1
2-2,CSE 209,Computer Architecture,2-2-CSE209-Q50,Which architecture improves performance using parallel processors,Parallel architecture,Sequential architecture,Serial architecture,Single core architecture,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q1,Which type of language is recognized by finite automata,Regular language,Context free language,Context sensitive language,Recursive language,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q2,Which machine recognizes regular languages,Finite automaton,Pushdown automaton,Turing machine,Linear bounded automaton,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q3,Which automaton has exactly one transition for each symbol,DFA,NFA,PDA,Turing machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q4,Which automaton may have multiple transitions for same symbol,NFA,DFA,PDA,Turing machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q5,Which model is equivalent in power to NFA,DFA,PDA,Turing machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q6,Which notation describes regular languages using symbols,Regular expression,Grammar,Parse tree,Derivation tree,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q7,Which theorem proves some languages are not regular,Pumping lemma for regular languages,Church theorem,Savitch theorem,Cook theorem,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q8,Which language type is generated by context free grammar,Context free language,Regular language,Recursive language,Decidable language,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q9,Which machine recognizes context free languages,Pushdown automaton,Finite automaton,Turing machine,Register machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q10,Which grammar form restricts productions to two variables or one terminal,Chomsky normal form,Greibach normal form,Regular form,Canonical form,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q11,Which concept describes multiple parse trees for same string,Ambiguity,Regularity,Completeness,Consistency,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q12,Which lemma proves some languages are not context free,Pumping lemma for context free languages,Church theorem,Cook theorem,Savitch theorem,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q13,Which machine has infinite tape for computation,Turing machine,Finite automaton,Pushdown automaton,Stack automaton,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q14,Which model is most powerful among automata,Turing machine,Pushdown automaton,Finite automaton,DFA,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q15,Which concept states that Turing machines capture algorithmic computation,Church Turing thesis,Cook theorem,Savitch theorem,Pumping lemma,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q16,Which technique proves undecidability,Diagonalization,Recursion,Iteration,Induction,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q17,Which famous undecidable problem asks if a program halts,Halting problem,Shortest path problem,Sorting problem,Traveling salesman problem,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q18,Which language type has algorithm to decide membership,Decidable language,Undecidable language,Context sensitive language,Ambiguous language,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q19,Which technique converts one problem into another,Reduction,Compilation,Translation,Optimization,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q20,Which complexity class contains problems solvable in polynomial time,P class,NP class,NP complete class,NP hard class,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q21,Which class contains problems verifiable in polynomial time,NP class,P class,EXPTIME class,PSPACE class,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q22,Which problems are both NP and NP hard,NP complete problems,P problems,Regular problems,Context free problems,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q23,Which theorem proves SAT is NP complete,Cook theorem,Church theorem,Savitch theorem,Pumping lemma,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q24,Which theorem relates space complexity classes,Savitch theorem,Cook theorem,Church theorem,Pumping lemma,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q25,Which complexity measure counts number of steps,Time complexity,Space complexity,Input complexity,Output complexity,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q26,Which complexity measure counts memory used,Space complexity,Time complexity,Code complexity,Data complexity,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q27,Which machine uses stack memory,Pushdown automaton,Finite automaton,Turing machine,DFA,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q28,Which automaton reads input symbol by symbol,Finite automaton,Pushdown automaton,Turing machine,Register machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q29,Which structure represents grammar derivation,Parse tree,Graph,Stack,Heap,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q30,Which grammar rule generates context free languages,Single variable on left side,Two variables on left side,Terminal only,No variables allowed,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q31,Which machine is theoretical model of computation,Turing machine,Compiler,Assembler,Interpreter,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q32,Which machine reads and writes symbols on tape,Turing machine,Finite automaton,Pushdown automaton,DFA,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q33,Which concept defines limits of computation,Computability theory,Graph theory,Number theory,Control theory,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q34,Which complexity class contains hardest NP problems,NP complete,P class,Regular class,Context free class,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q35,Which language class contains regular languages,Context free languages,P languages,NP languages,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q36,Which problem is example of NP complete problem,SAT problem,Sorting problem,Addition problem,Search problem,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q37,Which automaton uses transition function,DFA,NFA,PDA,Turing machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q38,Which model includes tape head movement,Turing machine,DFA,NFA,PDA,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q39,Which concept measures algorithm efficiency,Complexity theory,Graph theory,Number theory,Control theory,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q40,Which machine accepts by final state,Finite automaton,Pushdown automaton,Turing machine,Register machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q41,Which problem is undecidable,Halting problem,Sorting problem,Searching problem,Minimum spanning tree problem,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q42,Which automaton processes regular expressions,Finite automaton,Pushdown automaton,Turing machine,Register machine,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q43,Which grammar generates programming language syntax,Context free grammar,Regular grammar,Linear grammar,Ambiguous grammar,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q44,Which structure is used in pushdown automata,Stack,Queue,Heap,Register,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q45,Which language cannot be recognized by DFA,Nonregular language,Regular language,Finite language,Empty language,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q46,Which machine simulates algorithmic procedures,Turing machine,DFA,NFA,PDA,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q47,Which concept studies solvability of problems,Computability,Optimization,Compilation,Encryption,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q48,Which complexity class includes polynomial time algorithms,P class,NP class,NP complete class,PSPACE class,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q49,Which complexity class contains NP complete problems,NP class,P class,Linear class,Constant class,1
2-2,CSE 211,Theory of Computation,2-2-CSE211-Q50,Which theorem connects NP problems with SAT,Cook theorem,Church theorem,Savitch theorem,Pumping lemma,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q1,What is the main goal of software engineering,Develop reliable software systems,Write random code,Create hardware devices,Design networks,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q2,Which process describes stages of software development,Software development life cycle,Compilation cycle,Hardware cycle,Execution cycle,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q3,Which stage gathers user needs,Requirements analysis,Testing,Deployment,Maintenance,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q4,Which requirement describes system behavior,Functional requirement,Nonfunctional requirement,Hardware requirement,Network requirement,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q5,Which requirement describes performance or security,Nonfunctional requirement,Functional requirement,Hardware requirement,Software requirement,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q6,Which process gathers requirements from stakeholders,Requirement elicitation,Requirement deletion,Requirement execution,Requirement compilation,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q7,Which document formally describes system requirements,Requirement specification,Test report,User manual,Maintenance log,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q8,Which technique checks correctness of requirements,Requirement validation,Requirement deletion,Requirement transformation,Requirement expansion,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q9,Which diagram shows interaction between user and system,Use case diagram,Class diagram,Sequence diagram,State diagram,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q10,Which modeling language is widely used in software design,UML,HTML,SQL,XML,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q11,Which UML diagram represents classes and relationships,Class diagram,Use case diagram,Activity diagram,State diagram,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q12,Which UML diagram shows sequence of messages,Sequence diagram,Class diagram,Component diagram,Deployment diagram,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q13,Which design focuses on user interaction,User interface design,System architecture design,Hardware design,Database design,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q14,Which design pattern creates objects,Creational pattern,Structural pattern,Behavioral pattern,Functional pattern,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q15,Which design pattern organizes class relationships,Structural pattern,Creational pattern,Behavioral pattern,Procedural pattern,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q16,Which design pattern manages communication between objects,Behavioral pattern,Creational pattern,Structural pattern,Logical pattern,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q17,Which practice evaluates code quality by peers,Code review,Code deletion,Code execution,Code compression,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q18,Which activity explains how code works,Documentation,Compilation,Optimization,Encryption,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q19,Which system manages source code versions,Version control system,Database system,Operating system,Compiler system,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q20,Which tool is widely used for version control,Git,Excel,Photoshop,PowerPoint,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q21,Which term refers to poor coding practices,Code smell,Code syntax,Code style,Code token,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q22,Which process improves code structure without changing behavior,Refactoring,Compilation,Encryption,Execution,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q23,Which testing checks individual components,Unit testing,System testing,Acceptance testing,Stress testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q24,Which testing checks combined modules,Integration testing,Unit testing,Regression testing,Security testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q25,Which testing ensures old features still work after changes,Regression testing,Unit testing,Integration testing,Acceptance testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q26,Which testing analyzes internal code logic,White box testing,Black box testing,Acceptance testing,System testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q27,Which testing evaluates external behavior,Black box testing,White box testing,Unit testing,Mutation testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q28,Which testing checks application speed and scalability,Performance testing,Security testing,Functional testing,Regression testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q29,Which testing identifies vulnerabilities,Security testing,Unit testing,Integration testing,Acceptance testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q30,Which testing compares two versions of a feature,A B testing,Unit testing,Integration testing,System testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q31,Which report describes software defects,Bug report,Test case,Requirement report,Design report,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q32,Which role ensures software quality,Quality assurance engineer,System administrator,Database designer,Hardware engineer,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q33,Which phase releases software to users,Deployment phase,Design phase,Testing phase,Requirement phase,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q34,Which phase updates software after release,Maintenance phase,Design phase,Requirement phase,Compilation phase,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q35,Which diagram represents workflow of activities,Activity diagram,Class diagram,Sequence diagram,State diagram,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q36,Which diagram represents system states,State diagram,Sequence diagram,Class diagram,Activity diagram,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q37,Which concept focuses on ethical software development,Software ethics,Software syntax,Software token,Software indexing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q38,Which development approach divides project into iterations,Agile methodology,Waterfall methodology,Linear methodology,Sequential methodology,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q39,Which development model follows sequential phases,Waterfall model,Agile model,Iterative model,Spiral model,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q40,Which document explains system architecture,Design document,Test case,Bug report,User guide,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q41,Which artifact describes how software should behave,Requirement document,Test document,User manual,Maintenance guide,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q42,Which software practice improves collaboration,Version control,Manual coding,Ignoring reviews,Skipping testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q43,Which testing ensures system works as whole,System testing,Unit testing,Integration testing,Regression testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q44,Which testing validates user requirements,Acceptance testing,Unit testing,Regression testing,Stress testing,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q45,Which test double simulates real components,Mock object,Class object,Static object,Global object,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q46,Which artifact records software design decisions,Design documentation,Test script,Bug report,Build script,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q47,Which practice improves maintainability,Refactoring,Compilation,Execution,Encryption,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q48,Which activity identifies software defects,Debugging,Compilation,Encryption,Deployment,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q49,Which practice tracks changes in code repository,Version control,Debugging,Deployment,Compilation,1
2-2,CSE 213,Software Engineering,2-2-CSE213-Q50,Which software engineering goal improves reliability,Systematic development,Random coding,Minimal testing,Ignoring documentation,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q1,What is a signal,A function representing information,A hardware device,A compiler,A program,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q2,Which signal is defined at discrete time instants,Discrete time signal,Continuous signal,Analog signal,Periodic signal,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q3,Which signal is defined for every time value,Continuous time signal,Discrete signal,Digital signal,Impulse signal,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q4,Which function represents sudden impulse at zero time,Unit impulse function,Unit step function,Ramp function,Sinusoidal function,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q5,Which function changes from zero to one at time zero,Unit step function,Impulse function,Exponential function,Sinusoid function,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q6,Which operation shifts a signal in time,Time shifting,Time scaling,Time reversal,Amplitude scaling,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q7,Which operation reverses signal in time,Time reversal,Time shifting,Amplitude scaling,Time addition,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q8,Which system satisfies superposition principle,Linear system,Nonlinear system,Dynamic system,Memoryless system,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q9,Which system output depends only on current input,Memoryless system,Dynamic system,Linear system,Time invariant system,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q10,Which system property means behavior does not change over time,Time invariant system,Linear system,Dynamic system,Static system,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q11,Which system property ensures proportional output to input,Linearity,Time invariance,Stability,Causality,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q12,Which system output depends on past inputs,Dynamic system,Memoryless system,Linear system,Static system,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q13,Which system produces bounded output for bounded input,Stable system,Unstable system,Linear system,Dynamic system,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q14,Which system output depends only on past and present inputs,Causal system,Noncausal system,Stable system,Linear system,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q15,Which system type is described by convolution,LTI system,Nonlinear system,Dynamic system,Static system,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q16,Which operation determines output of LTI systems,Convolution,Integration,Differentiation,Transformation,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q17,Which equation describes continuous LTI systems,Differential equation,Algebraic equation,Boolean equation,Matrix equation,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q18,Which equation describes discrete LTI systems,Difference equation,Matrix equation,Boolean equation,Algebraic equation,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q19,Which representation expresses periodic signals as sum of sinusoids,Fourier series,Fourier transform,Laplace transform,Z transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q20,Which representation analyzes non periodic signals,Fourier transform,Fourier series,Laplace transform,Z transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q21,Which transform analyzes continuous signals in frequency domain,Fourier transform,Laplace transform,Z transform,Hilbert transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q22,Which transform analyzes discrete signals,Z transform,Laplace transform,Fourier series,Wave transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q23,Which transform is useful for solving differential equations,Laplace transform,Fourier transform,Z transform,Wave transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q24,Which property relates time and frequency representations,Duality property,Linearity property,Time shift property,Scaling property,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q25,Which theorem allows signal reconstruction from samples,Sampling theorem,Nyquist theorem,Fourier theorem,Shannon law,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q26,Which phenomenon occurs when sampling rate is too low,Aliasing,Distortion,Reflection,Diffraction,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q27,Which process reconstructs signal from samples,Interpolation,Sampling,Quantization,Compression,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q28,Which transform converts time domain to complex frequency domain,Laplace transform,Fourier series,Z transform,Wave transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q29,Which operation retrieves original signal from Laplace transform,Inverse Laplace transform,Direct Laplace transform,Partial transform,Series transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q30,Which operation retrieves signal from Z transform,Inverse Z transform,Direct Z transform,Series transform,Partial transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q31,Which domain describes signals as functions of time,Time domain,Frequency domain,Transform domain,Spatial domain,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q32,Which domain describes signals by frequency components,Frequency domain,Time domain,Transform domain,Signal domain,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q33,Which property allows signals to be added,Linearity property,Stability property,Causality property,Time invariance,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q34,Which signal repeats after fixed interval,Periodic signal,Aperiodic signal,Impulse signal,Random signal,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q35,Which signal does not repeat,Aperiodic signal,Periodic signal,Impulse signal,Step signal,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q36,Which function increases linearly with time,Ramp function,Impulse function,Step function,Sinusoidal function,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q37,Which signal contains only one frequency component,Sinusoidal signal,Impulse signal,Step signal,Ramp signal,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q38,Which signal property measures signal strength,Amplitude,Frequency,Phase,Period,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q39,Which parameter measures oscillation rate,Frequency,Amplitude,Phase,Offset,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q40,Which parameter measures shift of waveform,Phase,Amplitude,Frequency,Period,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q41,Which concept studies signals mathematically,Signal processing,System engineering,Data science,Control logic,1
